Type,Name,RidgeCV,LDA,LogReg,RandomForest,Rocket,Minirocket,Multirocket,,Difference,TRidgeCV,TLDA,TLogReg,TRandomForest,,TRocket,TMinirocket,TMultirocket
Device,ACSF1,0.42,0.41,0.62,0.75,0.9,0.91,0.88,,-0.16,0.03,0.04,0.29,0.19,,49.54,7.34,15.47
Image,Adiac,0.44,0.53,0.73,0.65,0.79,0.83,0.83,,-0.1,0.03,0.02,0.12,0.4,,22.69,4.15,10.23
Image,ArrowHead,0.73,0.67,0.73,0.7,0.82,0.84,0.87,,-0.14,0.01,0.01,0.03,0.11,,8.66,1.3,4.33
Spectro,Beef,0.87,0.93,0.87,0.77,0.83,0.87,0.77,,0.07,0.01,0.01,0.05,0.1,,4.96,0.95,2.69
Image,BeetleFly,0.85,0.75,0.85,0.85,0.9,0.9,0.85,,-0.05,0.01,0.01,0.02,0.09,,3.82,0.82,2.33
Image,BirdChicken,0.5,0.55,0.7,0.75,0.9,0.9,0.9,,-0.15,0.01,0.01,0.04,0.09,,3.82,1.02,2.27
Simulated,BME,0.91,0.95,0.91,0.97,1,1,1,,-0.03,0.01,0,0.01,0.09,,4.32,0.72,2.51
Sensor,Car,0.8,0.8,0.83,0.67,0.9,0.92,0.92,,-0.08,0.01,0.01,0.06,0.11,,11.62,2.21,5.44
Simulated,CBF,0.83,0.84,0.85,0.89,1,1,1,,-0.11,0.01,0,0.01,0.09,,18.75,2.85,10.63
Traffic,Chinatown,0.98,0.95,0.98,0.98,0.98,0.98,0.98,,0,0.01,0,0.01,0.09,,1.85,0.52,1.79
Sensor,ChlorineConcentration,0.85,0.88,0.78,0.71,0.82,0.77,0.79,,0.06,0.02,0.02,0.04,0.4,,111.02,16.98,64.95
Sensor,CinCECGTorso,0.39,0.45,0.45,0.72,0.83,0.87,0.95,,-0.23,0.03,0.03,0.15,0.14,,341.34,53.97,140.86
Spectro,Coffee,1,1,1,0.96,1,1,1,,0,0.01,0.01,0.02,0.09,,2.67,1.1,1.89
Device,Computers,0.51,0.49,0.48,0.62,0.75,0.7,0.78,,-0.16,0.03,0.05,0.04,0.28,,52.39,12.43,22.18
Motion,CricketX,0.27,0.13,0.27,0.55,0.82,0.81,0.81,,-0.27,0.04,0.03,0.11,0.36,,34.13,7.93,18.56
Motion,CricketY,0.37,0.15,0.39,0.6,0.86,0.83,0.85,,-0.26,0.03,0.03,0.11,0.34,,34.29,8.85,18.49
Motion,CricketZ,0.31,0.15,0.28,0.57,0.85,0.82,0.84,,-0.28,0.03,0.03,0.13,0.37,,34.12,8.01,18.5
Image,Crop,0.56,0.63,0.69,0.76,0.75,0.75,0.77,,-0.02,0.08,0.05,0.53,2.98,,253.79,111.64,334.41
Image,DiatomSizeReduction,0.96,0.96,0.95,0.9,0.98,0.92,0.96,,-0.02,0.01,0.01,0.04,0.09,,17.55,3.18,7.2
